;href;Название;УК;Объект;Специализация;География;Валюта;Пайщики;Взнос;пВзнос;Вознаграждение;Депозитарию;Прочие;Пай;6месП;1годП;3годаП;5летП;СЧА;6месС;1годС;3годаС;5летС;кШарпа;кСортино;Волатильность;VaR;alpha;beta;R2
35;https://investfunds.ru/funds/6575/;Альфа-Капитал Управляемые Российские Акции ;Альфа-Капитал;акции;Широкий рынок;Россия;RUB;47721;100;100.0;1.5;0.15;0.1;121.0411;34.42;46.71;;;3643009783.53;199.5;244.28;;;;;;;;;
36;https://investfunds.ru/funds/3127/;РСХБ - Фонд Сбалансированный ;РСХБ Управление Активами;смешанный;;Россия;RUB;51082;5000;1000.0;2.9;0.65;0.7;2910.44;16.29;19.42;13.87;39.39;17592926474.14;2.21;-8.36;46.87;764.11;0.177;0.157;2.54;-3.33;-1.877;0.496;93.64
37;https://investfunds.ru/funds/6331/;Тинькофф Технологии ;Тинькофф Капитал;акции;Технологии;США;USD;202980;1000;;0.7;0.05;0.04;0.0984;33.51;20.59;;;34180595.67;20.4;-8.25;;;;;;;;;
38;https://investfunds.ru/funds/70/;МКБ Акции ;МКБ Инвестиции;акции;Широкий рынок;Россия;RUB;2109;1000;;2.5;0.55;0.5;16678.96;36.41;45.42;26.66;55.59;1001406262.3;31.49;34.84;581.31;1024.21;0.189;0.179;5.19;-7.06;0.448;1.01;93.21
39;https://investfunds.ru/funds/8289/;Райффайзен - Золото ;Райффайзен Капитал;драгметаллы;Золото;Россия;RUB;738;10000;;0.2;0.1;0.5;1665.13;35.14;;;;270674333.3;467.9;;;;;;;;;;
40;https://investfunds.ru/funds/8710/;БКС Капитал ;Брокеркредитсервис;смешанный;;Россия;RUB;177;50000;10000.0;2.5;0.18;2.5;554.87;;;;;1233930695.49;;;;;;;;;;;
41;https://investfunds.ru/funds/165/;БКС Основа ;Брокеркредитсервис;облигации;Все секторы;Россия;RUB;10809;10000;1000.0;1.5;0.3;1.0;305.08;5.93;11.23;17.46;41.9;1770652817.76;83.56;81.26;77.3;132.43;0.006;0.006;2.41;-3.49;-4.155;0.122;17.42
42;https://investfunds.ru/funds/7413/;Тинькофф Искусственный интеллект ;Тинькофф Капитал;акции;Технологии;США;USD;30599;1000;1000.0;0.6;0.04;0.05;0.073;20.46;11.79;;;2872661.61;2.83;-20.86;;;;;;;;;
43;https://investfunds.ru/funds/200/;Мои облигации ;Ингосстрах - Инвестиции;облигации;Корпоративные;Россия;RUB;303;5000;1000.0;0.5;0.5;1.25;4300.5;3.81;4.66;9.84;35.69;720146078.8;4.42;6.37;12.46;39.78;0.0;0.0;1.34;-1.84;-3.526;0.138;25.96
44;https://investfunds.ru/funds/432/;Альфа-Капитал Ликвидные акции ;Альфа-Капитал;акции;Широкий рынок;Глобальный;RUB;109611;100;100.0;3.5;0.2;0.1;6494.24;30.73;35.97;8.27;36.33;26999036836.16;37.14;33.73;123.83;972.73;-0.029;-0.021;9.24;-14.56;0.639;1.073;92.37
45;https://investfunds.ru/funds/294/;ПРОМСВЯЗЬ - Перспективные вложения ;Промсвязь;акции;Высокая капитализация;Россия;RUB;20943;100;100.0;3.2;;10.0;7596.65;30.26;26.55;34.34;86.27;6700805162.98;26.55;16.7;8264.89;13761.55;0.226;0.197;6.24;-8.3;1.023;1.035;67.46
46;https://investfunds.ru/funds/7883/;Первая - Локальный ;Первая;смешанный;;Россия;RUB;15533;15000;1000.0;3.1;0.15;0.5;1151.25;12.86;18.03;;;447229659.83;-20.34;-24.64;;;;;;;;;
47;https://investfunds.ru/funds/7389/;ПРОМСВЯЗЬ – Окно возможностей ;Промсвязь;акции;Широкий рынок;Россия;RUB;1787;100;100.0;3.75;;1.0;994.16;41.46;35.8;;;402564176.74;379.26;400.55;;;;;;;;;
48;https://investfunds.ru/funds/6577/;Тинькофф Индекс первичных публичных размещений ;Тинькофф Капитал;акции;Широкий рынок;Глобальный;USD;165488;1000;1000.0;0.9;0.05;0.04;0.0556;26.65;10.32;;;10708751.53;15.5;-15.38;;;;;;;;;
49;https://investfunds.ru/funds/45/;Первая - Сбалансированный ;Первая;смешанный;;Россия;RUB;91273;1000;1000.0;3.1;0.15;0.5;104258.0;25.82;33.2;10.36;36.98;27491182376.53;3.31;-6.57;63.54;1304.57;0.181;0.171;2.93;-3.89;-1.509;0.579;95.94
50;https://investfunds.ru/funds/6449/;Райффайзен - Еврооблигации ;Райффайзен Капитал;облигации;Все секторы;Развивающиеся рынки;USD;1138;10000;10000.0;0.29;0.1;0.01;10.59;;;;;3809122.16;;;;;;;;;;;
51;https://investfunds.ru/funds/1020/;Райффайзен - Электроэнергетика ;Райффайзен Капитал;акции;Энергетика;Россия;RUB;2120;1000;1000.0;3.9;0.58;0.6;4864.59;13.02;13.38;-24.58;-11.85;323708892.22;10.32;27.26;-32.22;-34.77;-0.117;-0.094;7.08;-11.77;-1.788;0.73;72.91
52;https://investfunds.ru/funds/8087/;Открытие – Сбалансированный рантье ;ОТКРЫТИЕ;смешанный;;Россия;RUB;7351;1000;100.0;3.1;0.2;0.3;1189.83;19.19;20.95;;;7542953084.46;187.81;1044.99;;;;;;;;;
53;https://investfunds.ru/funds/7417/;Тинькофф Индекс обратного выкупа ;Тинькофф Капитал;акции;Технологии;США;USD;10907;1000;1000.0;0.6;0.04;0.05;0.0889;3.98;13.54;;;1155930.95;-27.89;-32.56;;;;;;;;;
54;https://investfunds.ru/funds/8177/;Финансовый поток ;Промсвязь;облигации;Корпоративные;Россия;RUB;3205;100;100.0;1.5;0.39;1.0;1071.05;6.57;;;;1121475806.83;150.74;;;;;;;;;;
55;https://investfunds.ru/funds/8428/;Недра России ;Промсвязь;акции;Добыча природных ресурсов;Россия;RUB;5989;100;100.0;3.2;0.39;1.0;1363.92;33.31;;;;1001313168.16;3291.72;;;;;;;;;;
56;https://investfunds.ru/funds/7189/;Открытие – Акции РФ ;ОТКРЫТИЕ;акции;Широкий рынок;Россия;RUB;3205;1000;;0.82;0.07;0.1;89.57;42.22;43.5;;;129013069.04;6.84;3.22;;;;;;;;;
57;https://investfunds.ru/funds/7011/;ДОХОДЪ Индекс акций роста РФ ;ДОХОДЪ;акции;Акции роста;Россия;RUB;4132;1000;;0.5;0.4;0.09;754.9;31.36;24.73;;;116631858.14;54.23;80.03;;;;;;;;;
58;https://investfunds.ru/funds/7047/;БСПБ – ОФЗ 1000 ;А-Капитал;облигации;Государственные;Россия;RUB;1086;1000000;;0.5;0.2;0.5;1125.34;2.63;6.86;;;252828918.0;1.19;2.77;;;;;;;;;
59;https://investfunds.ru/funds/1006/;Электроэнергетика ;ВИМ Инвестиции;акции;Энергетика;Россия;RUB;3093;5000;1000.0;3.0;0.16;0.1;9.75;36.75;35.79;-3.66;18.61;651396048.96;26.79;18.8;0.77;51.43;-0.058;-0.049;8.02;-12.89;-0.933;0.818;71.19
60;https://investfunds.ru/funds/41/;Апрель Капитал - Сбалансированный ;Апрель Капитал;смешанный;;Россия;RUB;136;1000;1000.0;2.95;0.7;1.0;530.76;16.99;21.56;20.36;44.42;88661423.27;9.19;10.58;-10.81;3.66;0.021;0.015;6.89;-10.48;-0.76;0.744;79.87
61;https://investfunds.ru/funds/47/;Первая - Фонд российских облигаций ;Первая;облигации;Все секторы;Россия;RUB;121399;1000;1000.0;1.5;0.15;0.5;43559.92;8.34;9.52;12.27;34.73;11122144856.6;-9.81;10.53;-31.52;-42.18;0.065;0.065;1.11;-1.38;-3.583;0.1;19.95
62;https://investfunds.ru/funds/8608/;Открытие – Еврооблигации РФ ;ОТКРЫТИЕ;облигации;Государственные;Россия;RUB;32;1000;;1.0;0.2;0.2;1127.68;;;;;85360381.07;;;;;;;;;;;
63;https://investfunds.ru/funds/2573/;Райффайзен - Долговые рынки развитых стран ;Райффайзен Капитал;облигации;Все секторы;США;RUB;1435;1000;1000.0;1.6;0.4;0.5;19762.06;27.28;34.89;16.77;27.99;2441839587.16;64.56;261.08;266.46;153.39;0.105;0.168;3.93;-5.62;-5.276;-0.432;61.8
64;https://investfunds.ru/funds/375/;ПРОМСВЯЗЬ - Облигации ;Промсвязь;облигации;Корпоративные;Россия;RUB;15177;100;100.0;1.5;;0.8;4550.38;5.41;10.93;21.29;42.67;4755097191.07;19.01;64.01;198.38;1105.32;0.081;0.067;1.54;-2.03;-3.274;0.176;32.26
65;https://investfunds.ru/funds/1021/;Райффайзен - Информационные технологии ;Райффайзен Капитал;акции;Технологии;США;RUB;10552;1000;1000.0;3.9;0.62;0.6;33223.06;67.32;66.91;34.03;112.69;5377310742.25;42.7;24.92;7.62;172.73;0.425;0.479;4.9;-5.51;-2.002;-0.05;0.53
66;https://investfunds.ru/funds/2219/;БКС Империя ;Брокеркредитсервис;смешанный;;Глобальный;RUB;14845;10000;1000.0;3.5;0.3;1.8;406.54;18.5;29.24;43.02;78.94;2591480051.92;-7.44;-12.28;164.32;298.88;0.476;0.644;3.07;-3.18;-3.006;-0.127;8.72
67;https://investfunds.ru/funds/166/;XXII век ;Брокеркредитсервис;акции;Широкий рынок;США;RUB;8511;10000;1000.0;3.9;0.3;1.0;467.09;65.7;69.54;40.39;99.38;682643869.56;45.67;34.99;371.86;698.35;0.308;0.344;6.45;-8.07;-3.013;-0.292;10.56
68;https://investfunds.ru/funds/96/;БКС Перспектива ;Брокеркредитсервис;акции;Широкий рынок;США;RUB;12386;10000;1000.0;3.9;0.3;1.6;452.65;25.87;44.68;40.92;84.3;1594394295.25;9.46;15.26;162.23;276.58;0.361;0.517;5.97;-7.15;-3.186;-0.368;19.5
69;https://investfunds.ru/funds/6627/;Открытие - Сбалансированный ;ОТКРЫТИЕ;смешанный;;Россия;RUB;9478;5000;1500.0;2.9;0.2;0.5;1010.75;20.29;25.17;;;3914159318.39;1.28;-9.04;;;;;;;;;
70;https://investfunds.ru/funds/1007/;Сбалансированные инвестиции ;ВИМ Инвестиции;смешанный;;Россия;RUB;36323;5000;1000.0;2.5;0.16;0.15;36.23;22.44;19.73;13.9;39.29;28072137100.32;3.41;-11.68;6.54;2285.54;-0.018;-0.014;5.99;-9.34;-1.348;0.689;90.59
71;https://investfunds.ru/funds/6259/;Российские Гособлигации ;МКБ Инвестиции;облигации;Государственные;Россия;RUB;231;3000000;1000000.0;0.39;0.01;0.1;1089.77;3.01;5.18;;;1107946315.88;11.73;71.88;;;;;;;;;
72;https://investfunds.ru/funds/467/;Апрель Капитал - Облигации плюс ;Апрель Капитал;облигации;Все секторы;Россия;RUB;46;1000;1000.0;1.0;0.9;1.0;117.97;2.06;3.63;3.99;26.69;18655298.44;-6.6;-17.56;-27.65;490.8;-0.096;-0.084;2.91;-4.58;-4.118;0.186;28.18
73;https://investfunds.ru/funds/7493/;Акции российских эмитентов ;ВИМ Инвестиции;акции;Широкий рынок;Россия;RUB;276;1000;1000.0;2.5;0.16;0.4;1125.61;44.43;56.74;;;340768236.72;289.58;432.07;;;;;;;;;
74;https://investfunds.ru/funds/7013/;Арикапитал – Мировые рынки ;Арикапитал;облигации;Государственные;Глобальный;RUB;17;100000;10000.0;0.97;0.25;0.15;1468.6;26.84;61.59;;;244872694.68;43.9;102.85;;;;;;;;;
75;https://investfunds.ru/funds/8121/;Первая - Фонд смешанный с выплатой дохода ;Первая;смешанный;;;RUB;34782;50000;;2.5;0.15;0.5;57744.93;17.87;19.5;;;45452974165.83;141.54;2199.22;;;;;;;;;
76;https://investfunds.ru/funds/7069/;Тинькофф Индекс Экологически чистых технологий ;Тинькофф Капитал;акции;Ответственные инвестиции и устойчив;Глобальный;USD;76211;1000;;0.9;0.05;0.04;0.0798;14.33;9.32;;;7722421.13;-7.01;-35.29;;;;;;;;;
77;https://investfunds.ru/funds/5351/;Харизматичные идеи ;Арикапитал;акции;Широкий рынок;Россия;RUB;77;100000;10000.0;2.5;0.25;0.75;2490.58;35.39;48.2;70.73;;367555370.28;44.81;35.21;344.19;;0.075;0.054;8.06;-11.92;1.303;1.057;88.34
78;https://investfunds.ru/funds/1012/;Умеренно консервативный. Рубли ;ВИМ Инвестиции;смешанный;;Россия;RUB;3865;5000;1000.0;2.0;0.16;0.4;39.84;11.22;12.99;25.96;42.85;1159887609.15;5.34;-2.45;16.54;57.93;0.083;0.072;4.9;-7.1;-1.852;0.495;69.69
79;https://investfunds.ru/funds/292/;МКБ Сбалансированный ;МКБ Инвестиции;смешанный;;Россия;RUB;7771;1000;;2.0;0.55;0.5;5284.23;20.81;27.18;24.04;41.52;3333211381.44;1.31;-8.11;33984.86;42487.2;0.168;0.162;3.06;-4.11;-1.538;0.575;86.88
80;https://investfunds.ru/funds/7281/;Альфа-Капитал Космос ;Альфа-Капитал;акции;Аэрокосмический и оборонный;США;RUB;6640;75;;1.5;0.15;0.1;59.1535;38.78;68.66;;;71953175.89;31.7;26.28;;;;;;;;;
81;https://investfunds.ru/funds/2363/;Райффайзен – Фонд активного управления ;Райффайзен Капитал;смешанный;;Глобальный;RUB;4467;1000;1000.0;3.9;0.62;0.5;43049.44;42.12;56.32;51.78;70.7;3106934469.3;20.99;23.27;42.89;34.65;0.327;0.515;4.17;-5.06;-3.63;-0.264;20.53
82;https://investfunds.ru/funds/6581/;Тинькофф США 500 ;Тинькофф Капитал;акции;Высокая капитализация;США;USD;227826;1000;1000.0;0.7;0.05;0.04;0.1108;14.34;13.41;;;48809490.91;-4.63;-34.98;;;;;;;;;
83;https://investfunds.ru/funds/187/;Открытие - Облигации ;ОТКРЫТИЕ;облигации;Все секторы;Россия;RUB;12209;1000;100.0;1.9;0.2;0.1;6118.11;6.18;9.46;7.58;27.87;5217073402.88;-33.35;-53.43;-17.0;75.55;-0.075;-0.062;3.08;-4.81;-3.988;0.202;29.67
84;https://investfunds.ru/funds/4399/;Система Капитал - Сберегательный ;Система Капитал;облигации;Корпоративные;Россия;RUB;3963;100;100.0;0.75;0.2;0.3;89.18;4.6;9.05;18.13;46.34;622722795.98;1.06;-1.12;3.2;122.56;0.161;0.166;1.29;-1.54;-3.347;0.13;24.99
85;https://investfunds.ru/funds/8211/;Мировые акции ;УК ТРИНФИКО;акции;Широкий рынок;;RUB;5;1000;;3.5;1.0;0.1;1359.37;19.32;;;;16460547.91;32.22;;;;;;;;;;
86;https://investfunds.ru/funds/6837/;Мировые доходные облигации ;УК ТРИНФИКО;облигации;Все секторы;Глобальный;RUB;18;1000;1000.0;1.25;1.0;10.0;955.82;25.87;;;;53267244.34;30.06;;;;;;;;;;
87;https://investfunds.ru/funds/7491/;Облигации российских эмитентов ;ВИМ Инвестиции;облигации;Все секторы;Россия;RUB;356;1000;1000.0;1.0;0.16;0.4;1128.32;4.66;8.0;;;323994679.15;252.83;321.15;;;;;;;;;
88;https://investfunds.ru/funds/1009/;Нефтегазовый сектор ;ВИМ Инвестиции;акции;Нефтегазовая промышленность;Россия;RUB;8836;5000;1000.0;3.0;0.16;0.1;34.18;43.37;46.13;40.66;70.47;4626516305.76;21.17;14.81;10.38;1255.91;0.033;0.028;8.91;-13.51;0.816;1.005;87.25
89;https://investfunds.ru/funds/7311/;Альфа-Капитал Квант ;Альфа-Капитал;акции;Широкий рынок;США;RUB;399;7500;7500.0;3.0;0.15;0.9;8817.7643;33.2;77.46;;;673863101.87;13.48;36.0;;;;;;;;;
90;https://investfunds.ru/funds/7411/;Тинькофф Индекс ФинТех компаний ;Тинькофф Капитал;акции;Широкий рынок;США;USD;30264;1000;1000.0;0.6;0.04;0.05;0.0576;15.43;8.07;;;2926892.71;-4.48;-23.81;;;;;;;;;
